id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PPAN	3	1.6398e-06	3.8659e-06	0.001609	58	3	-1.9848	1.0	1.0	1.0	16616	0	-1.9848
CAPZB	3	1.6858e-06	3.8659e-06	0.001609	59	3	-1.8425	1.0	1.0	1.0	16615	0	-1.8425
KPNB1	4	1.7329e-06	6.245e-06	0.001925	60	4	-1.6091	1.0	1.0	1.0	16614	0	-1.6091
LIN5	5	1.8337e-06	6.8398e-06	0.001998	61	4	-1.2146	0.96814	0.96825	1.0	15557	0	-1.2146
SNRNP25	4	2.0073e-06	6.8398e-06	0.001998	62	4	-1.8158	1.0	1.0	1.0	16613	0	-1.8158
IMP4	4	2.2909e-06	7.4345e-06	0.002134	63	4	-1.9372	1.0	1.0	1.0	16612	0	-1.9372
RPS5	3	2.3977e-06	6.8398e-06	0.001998	64	3	-2.1881	1.0	1.0	1.0	16611	0	-2.1881
POLR1E	4	2.8723e-06	1.0408e-05	0.002707	65	4	-1.5077	1.0	1.0	1.0	16610	0	-1.5077
ORC6	4	2.9382e-06	1.0408e-05	0.002707	66	4	-1.5375	1.0	1.0	1.0	16609	0	-1.5375
FBXW11	3	3.0637e-06	8.0293e-06	0.002265	67	3	-2.1547	1.0	1.0	1.0	16608	0	-2.1547
ASNA1	4	3.4518e-06	1.1003e-05	0.002775	68	4	-1.4894	1.0	1.0	1.0	16607	0	-1.4894
YARS	6	3.779e-06	2.0519e-05	0.004235	69	4	-2.4802	0.83219	0.86726	1.0	13473	1	-2.4802
POLR2D	5	4.0726e-06	1.8438e-05	0.004205	70	4	-2.1645	0.98812	0.9882	1.0	15956	0	-2.1645
MRPL53	6	4.2005e-06	2.3493e-05	0.004455	71	5	-1.7926	0.99584	0.99584	1.0	16190	0	-1.7926
WDR33	2	4.2129e-06	5.0555e-06	0.001753	72	2	-1.8013	1.0	1.0	1.0	16606	0	-1.8013
NAT10	4	4.3122e-06	1.3382e-05	0.003325	73	4	-1.7928	1.0	1.0	1.0	16605	0	-1.7928
SKIV2L2	4	4.4739e-06	1.4572e-05	0.003465	74	4	-1.6532	1.0	1.0	1.0	16604	0	-1.6532
LSM11	4	4.6514e-06	1.5761e-05	0.003695	75	4	-1.7926	0.99999	1.0	1.0	16602	0	-1.7926
UBA5	8	4.6674e-06	3.7173e-05	0.005716	76	7	-1.2149	0.90362	0.93635	1.0	14523	1	-1.2149
CRCP	5	4.7459e-06	1.9925e-05	0.004235	77	5	-1.0873	0.99521	0.99524	1.0	16165	0	-1.0873
POLR3	8	4.8724e-06	3.7767e-05	0.005716	78	6	-0.85665	0.24704	0.48664	1.0	6411	2	-0.85665
PSMB4	6	5.1184e-06	2.9143e-05	0.005054	79	5	-1.4828	0.97672	0.97674	1.0	15702	0	-1.4828
RAB6A	5	5.2603e-06	2.4088e-05	0.004455	80	5	-0.55278	0.99587	0.99589	1.0	16192	0	-0.55278
EEF2	4	5.4428e-06	1.8735e-05	0.004215	81	4	-2.35	0.99999	1.0	1.0	16601	0	-2.35
RRM2	7	5.4692e-06	3.182e-05	0.005351	82	6	-0.91318	0.98939	0.98945	1.0	15987	0	-0.91318
LSM4	4	5.6497e-06	1.933e-05	0.004235	83	4	-1.7334	0.99999	0.99999	1.0	16600	0	-1.7334
TXN	7	5.7475e-06	3.4199e-05	0.005581	84	6	-1.7716	0.043893	0.14127	0.919778	2027	1	-1.7716
PDCD2	8	5.7664e-06	4.2525e-05	0.006265	85	6	-1.0319	0.9842	0.98415	1.0	15855	0	-1.0319
ZEB	6	6.0218e-06	3.182e-05	0.005351	86	6	-1.1187	0.99999	0.99999	1.0	16599	0	-1.1187
NAA25	4	6.0355e-06	2.0519e-05	0.004235	87	4	-1.7413	0.99999	0.99999	1.0	16598	0	-1.7413
UROD	6	6.1817e-06	3.2414e-05	0.005396	88	6	-1.8159	0.99998	0.99998	1.0	16559	0	-1.8159
TSFM	3	6.1926e-06	2.1114e-05	0.004235	89	3	-1.4264	0.99999	0.99999	1.0	16597	0	-1.4264
GFM1	4	6.2045e-06	2.0519e-05	0.004235	90	4	-2.0001	0.99999	0.99999	1.0	16596	0	-2.0001
VPS2	4	6.3849e-06	2.1114e-05	0.004235	91	4	-1.097	0.99999	0.99999	1.0	16595	0	-1.097
TCEB2	4	6.4806e-06	2.1114e-05	0.004235	92	4	-2.1473	0.99999	0.99999	1.0	16593	0	-2.1473
HNRNPU	4	6.7659e-06	2.1114e-05	0.004235	93	4	-2.1871	0.99999	0.99999	1.0	16592	0	-2.1871
MAP3K7	3	6.941e-06	2.4088e-05	0.004455	94	3	-1.7937	0.99999	0.99999	1.0	16580	0	-1.7937
NDUFA2	4	6.9415e-06	2.2898e-05	0.004432	95	4	-1.0908	0.99999	0.99999	1.0	16591	0	-1.0908
CTU2	4	6.9753e-06	2.2898e-05	0.004432	96	4	-1.9449	0.99999	0.99999	1.0	16590	0	-1.9449
ARMC7	4	7.0008e-06	2.2898e-05	0.004432	97	4	-2.196	0.99999	0.99999	1.0	16589	0	-2.196
HCFC1	4	7.3822e-06	2.4088e-05	0.004455	98	4	-2.1598	0.99999	0.99999	1.0	16588	0	-2.1598
DGCR8	3	7.4183e-06	2.7656e-05	0.00495	99	3	-2.7372	0.99999	0.99999	1.0	16587	0	-2.7372
THAP1	7	7.5038e-06	4.6689e-05	0.006587	100	6	-1.0889	0.97941	0.97944	1.0	15758	0	-1.0889
HARS	4	7.5291e-06	2.4683e-05	0.004466	101	4	-1.7331	0.99964	0.99965	1.0	16432	0	-1.7331
PQBP	4	7.5427e-06	2.4683e-05	0.004466	102	4	-0.92648	0.99999	0.99999	1.0	16586	0	-0.92648
HAUS5	3	7.6523e-06	2.8846e-05	0.005054	103	3	-2.4278	0.99999	0.99999	1.0	16585	0	-2.4278
TIMMDC1	4	8.7002e-06	2.8846e-05	0.005054	104	4	-1.0768	0.99999	0.99999	1.0	16584	0	-1.0768
LETM1	4	8.9939e-06	3.063e-05	0.005257	105	4	-1.5895	0.99999	0.99999	1.0	16583	0	-1.5895
CHTF	4	9.316e-06	3.3009e-05	0.005441	106	4	-1.4788	0.99999	0.99999	1.0	16582	0	-1.4788
FDP	3	9.325e-06	3.7173e-05	0.005716	107	3	-2.5084	0.99999	0.99999	1.0	16581	0	-2.5084
RPAIN	3	9.5551e-06	3.7767e-05	0.005716	108	3	-1.3956	0.99999	0.99999	1.0	16579	0	-1.3956
RBBP6	5	9.713e-06	4.6094e-05	0.006558	109	5	-1.3811	0.99999	0.99999	1.0	16578	0	-1.3811
FAM96B	4	9.7443e-06	3.5388e-05	0.005716	110	4	-1.7851	0.99999	0.99999	1.0	16577	0	-1.7851
GAPDH	3	9.918e-06	3.8362e-05	0.005753	111	3	-3.0258	0.99999	0.99999	1.0	16576	0	-3.0258
DCLRE1B	5	1.0059e-05	4.9068e-05	0.006751	112	4	-1.3673	0.73501	0.78959	1.0	12165	1	-1.3673
MASTL	3	1.0424e-05	3.9552e-05	0.005879	113	2	-2.0259	0.91591	0.91599	1.0	14717	0	-2.0259
NAA30	4	1.0529e-05	3.6578e-05	0.005716	114	4	-2.1773	0.99999	0.99999	1.0	16575	0	-2.1773
FOXM1	4	1.1191e-05	3.7767e-05	0.005716	115	4	-0.82628	0.99999	0.99999	1.0	16574	0	-0.82628
SRP68	7	1.1614e-05	7.7022e-05	0.009029	116	5	-0.73617	0.9783	0.97832	1.0	15739	0	-0.73617
LARS	8	1.168e-05	7.3453e-05	0.008805	117	5	-1.5071	0.7428	0.86158	1.0	12271	2	-1.5071
EXOC7	4	1.2124e-05	4.3715e-05	0.006384	118	4	-0.7224	0.99999	0.99999	1.0	16572	0	-0.7224
CSNK2	3	1.2516e-05	4.4904e-05	0.006444	119	3	-2.5693	0.99999	0.99998	1.0	16571	0	-2.5693
HDAC3	4	1.3007e-05	4.7878e-05	0.006698	120	4	-1.5861	0.99999	0.99999	1.0	16570	0	-1.5861
ALG3	4	1.3362e-05	4.8473e-05	0.006724	121	4	-0.72905	0.99999	0.99999	1.0	16569	0	-0.72905
DBR1	5	1.347e-05	6.1558e-05	0.007883	122	4	-3.1181	0.010608	0.038378	0.831343	641	1	-3.1181
NAE1	4	1.426e-05	5.0852e-05	0.006939	123	4	-1.1668	0.99904	0.99903	1.0	16343	0	-1.1668
ATP6V0B	4	1.4413e-05	5.1447e-05	0.006963	124	4	-1.7313	0.99999	0.99998	1.0	16567	0	-1.7313
RPS8	5	1.4798e-05	6.7505e-05	0.008386	125	4	-1.86	0.65374	0.75514	1.0	11198	1	-1.86
FARSB	4	1.5281e-05	5.4421e-05	0.007248	126	4	-2.9443	0.99675	0.99678	1.0	16228	0	-2.9443
SPATA5	5	1.5333e-05	7.0479e-05	0.008627	127	5	-0.97135	0.99998	0.99998	1.0	16566	0	-0.97135
LSS	4	1.5372e-05	5.4421e-05	0.007248	128	3	-1.826	0.69087	0.72311	1.0	11635	1	-1.826
POLR3A	4	1.5633e-05	5.5015e-05	0.007269	129	4	-1.6999	0.99998	0.99998	1.0	16564	0	-1.6999
GPI	6	1.5766e-05	7.3453e-05	0.008805	130	6	-1.8208	0.99774	0.9977	1.0	16264	0	-1.8208
MCM6	6	1.6011e-05	7.4048e-05	0.008805	131	5	-1.1243	0.92311	0.92348	1.0	14826	1	-1.1243
ARFRP	3	1.7194e-05	5.7394e-05	0.007523	132	2	-2.1574	0.20696	0.32201	0.980576	5750	1	-2.1574
GEMIN6	5	1.7567e-05	8.2374e-05	0.009081	133	4	-1.6344	0.5343	0.67962	1.0	9916	1	-1.6344
CIRH1A	3	1.7695e-05	5.8584e-05	0.007619	134	3	-2.373	0.99998	0.99998	1.0	16563	0	-2.373
ARPC4	4	1.8273e-05	6.9884e-05	0.008618	135	4	-2.0397	0.99995	0.99995	1.0	16528	0	-2.0397
CDC25B	3	1.8274e-05	5.9774e-05	0.007714	136	3	-1.2095	0.99998	0.99998	1.0	16562	0	-1.2095
PI4KB	6	1.8291e-05	8.1185e-05	0.00907	137	6	-1.0326	0.99964	0.99965	1.0	16431	0	-1.0326
TCP1	3	1.9098e-05	6.2747e-05	0.007974	138	3	-2.1949	0.99998	0.99998	1.0	16561	0	-2.1949
KCTD10	3	1.9266e-05	6.3342e-05	0.007988	139	3	-1.7171	0.99998	0.99998	1.0	16560	0	-1.7171
TFAP2C	5	1.932e-05	9.0106e-05	0.00974	140	5	-1.2593	0.99982	0.99983	1.0	16469	0	-1.2593
DMAP	5	1.94e-05	9.1296e-05	0.009805	141	4	-1.5178	0.96834	0.96846	1.0	15561	0	-1.5178
SMC1A	4	2.0189e-05	7.9401e-05	0.00907	142	4	-1.7286	0.99998	0.99998	1.0	16558	0	-1.7286
LSM2	3	2.0503e-05	6.7505e-05	0.008386	143	3	-2.3955	0.99998	0.99998	1.0	16557	0	-2.3955
HSCB	4	2.0644e-05	7.9995e-05	0.00907	144	4	-1.8677	0.99998	0.99998	1.0	16556	0	-1.8677
MAK16	4	2.0671e-05	7.9995e-05	0.00907	145	4	-2.3877	0.99124	0.99133	1.0	16051	0	-2.3877
NSL1	4	2.1175e-05	8.1185e-05	0.00907	146	3	-1.6463	0.91528	0.91506	1.0	14709	0	-1.6463
DCTN5	5	2.1237e-05	9.8433e-05	0.010306	147	4	-0.85748	0.81519	0.83318	1.0	13249	1	-0.85748
KIF2A	4	2.1243e-05	8.1185e-05	0.00907	148	4	-0.73698	0.99998	0.99997	1.0	16555	0	-0.73698
TAF8	4	2.1955e-05	8.178e-05	0.009076	149	4	-0.94811	0.99998	0.99997	1.0	16554	0	-0.94811
MRPL2	14	2.2174e-05	0.00022095	0.017269	150	8	-0.3796	0.70532	0.89981	1.0	11793	3	-0.3796
EFTUD2	2	2.2294e-05	3.7173e-05	0.005716	151	2	-2.3253	0.99998	0.99997	1.0	16553	0	-2.3253
ATP2A2	3	2.2755e-05	7.4048e-05	0.008805	152	3	-1.8498	0.99998	0.99998	1.0	16552	0	-1.8498
RIOK1	3	2.3286e-05	7.7022e-05	0.009029	153	3	-2.2542	0.99998	0.99997	1.0	16551	0	-2.2542
XAB2	4	2.3875e-05	9.2485e-05	0.009869	154	3	-3.0178	0.83799	0.8375	1.0	13552	0	-3.0178
SNAPC2	3	2.4136e-05	7.9401e-05	0.00907	155	3	-3.3389	0.99998	0.99997	1.0	16550	0	-3.3389
ATP6V0D1	4	2.4221e-05	9.3675e-05	0.009933	156	4	-1.6603	0.99998	0.99997	1.0	16549	0	-1.6603
NOC4L	3	2.5694e-05	8.4159e-05	0.009217	157	3	-1.5417	0.99997	0.99997	1.0	16548	0	-1.5417
LAMTOR2	6	2.594e-05	0.00012222	0.011761	158	5	-1.4846	0.77879	0.84537	1.0	12743	1	-1.4846
SOD	4	2.6311e-05	9.7838e-05	0.010306	159	4	-1.2102	0.99997	0.99997	1.0	16547	0	-1.2102
SART3	3	2.6352e-05	8.7133e-05	0.00948	160	3	-2.2044	0.99997	0.99997	1.0	16546	0	-2.2044
PSMA5	5	2.674e-05	0.00012698	0.012079	161	5	-1.3524	0.99997	0.99998	1.0	16545	0	-1.3524
CHMP2A	4	2.6994e-05	0.00010081	0.010424	162	4	-1.8412	0.99996	0.99996	1.0	16537	0	-1.8412
RRP9	6	2.7315e-05	0.00013174	0.012321	163	5	-2.0048	0.93593	0.93571	1.0	15032	0	-2.0048
DNAJC11	5	2.7458e-05	0.00013114	0.012321	164	4	-1.142	0.75147	0.79753	1.0	12388	1	-1.142
COAS	4	2.7525e-05	0.00010319	0.010535	165	4	-0.99615	0.99997	0.99997	1.0	16544	0	-0.99615
PCBP2	2	2.7751e-05	4.431e-05	0.006414	166	2	-1.1753	0.99997	0.99996	1.0	16543	0	-1.1753
DPM2	4	2.7834e-05	0.00010379	0.010535	167	4	-0.89442	0.99997	0.99997	1.0	16542	0	-0.89442
MCM7	7	2.8152e-05	0.00019478	0.01646	168	4	-0.95258	0.47064	0.68695	1.0	9307	2	-0.95258
TOP2A	4	2.8615e-05	0.00010676	0.010771	169	4	-2.2574	0.99913	0.99912	1.0	16353	0	-2.2574
GTPBP5	4	3.0026e-05	0.00010973	0.011004	170	4	-1.3908	0.99997	0.99997	1.0	16541	0	-1.3908
SNRPD	4	3.03e-05	0.00011152	0.011043	171	3	-2.245	0.91024	0.91004	1.0	14627	0	-2.245
BUB3	4	3.0535e-05	0.00011211	0.011043	172	4	-1.3456	0.99997	0.99997	1.0	16540	0	-1.3456
MOB4	3	3.0811e-05	0.00010081	0.010424	173	3	-1.3315	0.99997	0.99997	1.0	16539	0	-1.3315
RPLP	6	3.2157e-05	0.0001591	0.01394	174	4	-1.6086	0.91955	0.92031	1.0	14775	1	-1.6086
FNTB	3	3.2165e-05	0.0001026	0.010535	175	3	-1.7988	0.99997	0.99997	1.0	16538	0	-1.7988
MCM2	5	3.2765e-05	0.00015672	0.013877	176	5	-1.8736	0.9985	0.99851	1.0	16306	0	-1.8736
ECD	4	3.2948e-05	0.00011984	0.011667	177	3	-1.7616	0.37535	0.52198	1.0	8201	1	-1.7616
ANAPC1	15	3.3979e-05	0.00035656	0.023554	178	9	-0.57073	0.88648	0.96908	1.0	14249	3	-0.57073
C14orf166	4	3.4717e-05	0.00012639	0.012079	179	3	-1.8035	0.63608	0.69125	1.0	10993	1	-1.8035
NDOR1	3	3.5455e-05	0.00011509	0.01127	180	2	-2.1169	0.52752	0.56986	1.0	9839	1	-2.1169
GNB2L1	4	3.7142e-05	0.00013531	0.012514	181	4	-1.6481	0.99996	0.99996	1.0	16535	0	-1.6481
RNMTL1	4	3.7291e-05	0.0001365	0.012554	182	4	-0.82053	0.99996	0.99996	1.0	16534	0	-0.82053
NIP7	3	3.7408e-05	0.00012222	0.011761	183	3	-2.1733	0.9998	0.9998	1.0	16466	0	-2.1733
PSMB3	4	3.8026e-05	0.00014007	0.012811	184	4	-2.6792	0.99241	0.99252	1.0	16080	0	-2.6792
EIF5	4	3.8864e-05	0.00014482	0.013156	185	4	-1.6807	0.99691	0.99692	1.0	16238	0	-1.6807
PGS1	4	3.8948e-05	0.00014542	0.013156	186	3	-2.1633	0.55372	0.64953	1.0	10108	1	-2.1633
MRPL17	3	4.0409e-05	0.00013174	0.012321	187	3	-1.6407	0.99996	0.99996	1.0	16533	0	-1.6407
PHB2	4	4.0489e-05	0.00015137	0.013528	188	4	-1.7469	0.99649	0.99653	1.0	16215	0	-1.7469
PSMG4	7	4.0978e-05	0.00026972	0.019956	189	5	-0.61095	0.066415	0.19806	0.939445	2705	2	-0.61095
NAA20	3	4.1578e-05	0.00013531	0.012514	190	3	-1.0284	0.99996	0.99996	1.0	16532	0	-1.0284
TAF9	5	4.2325e-05	0.00020252	0.016856	191	5	-2.854	0.99974	0.99975	1.0	16451	0	-2.854
EIF1A	4	4.3236e-05	0.0001591	0.01394	192	4	-1.8276	0.99858	0.99859	1.0	16310	0	-1.8276
DARS	6	4.3701e-05	0.0002156	0.017173	193	4	-1.6189	0.6618	0.78751	1.0	11292	2	-1.6189
CCT3	8	4.4776e-05	0.00031374	0.021762	194	7	-0.81561	0.91451	0.94001	1.0	14689	1	-0.81561
RFT1	5	4.5021e-05	0.00021322	0.017173	195	5	-2.6253	0.99962	0.99963	1.0	16430	0	-2.6253
MDN1	3	4.5279e-05	0.00014661	0.013192	196	3	-2.5107	0.99995	0.99996	1.0	16531	0	-2.5107
EBNA1BP2	5	4.5373e-05	0.0002156	0.017173	197	4	-1.2932	0.49879	0.64949	1.0	9567	1	-1.2932
BSG	12	4.582e-05	0.00041425	0.026221	198	11	-0.50891	0.99996	0.99996	1.0	16536	0	-0.50891
COPE	4	4.5885e-05	0.00016326	0.014229	199	3	-1.3229	0.9183	0.91803	1.0	14760	0	-1.3229
TSG101	4	4.6292e-05	0.00016564	0.014338	200	4	-2.0899	0.99978	0.99977	1.0	16463	0	-2.0899
HMGC	4	4.6403e-05	0.00016624	0.014338	201	3	-1.464	0.98151	0.98159	1.0	15800	0	-1.464
PARS2	3	4.654e-05	0.00015196	0.013528	202	3	-1.9291	0.99995	0.99996	1.0	16530	0	-1.9291
MCM3A	4	4.7136e-05	0.00017099	0.014673	203	4	-1.152	0.99995	0.99996	1.0	16529	0	-1.152
ATP5	7	4.7777e-05	0.00030838	0.021695	204	6	-0.90778	0.6706	0.80553	1.0	11392	1	-0.90778
POLE	7	5.0447e-05	0.00032652	0.022186	205	5	-0.8524	0.040577	0.13243	0.911703	1880	1	-0.8524
HJURP	4	5.109e-05	0.00018705	0.015969	206	4	-2.4594	0.99934	0.99935	1.0	16380	0	-2.4594
CDC4	6	5.2449e-05	0.00026616	0.019869	207	5	-1.176	0.94199	0.94174	1.0	15126	0	-1.176
NLE1	5	5.3499e-05	0.00025307	0.019063	208	4	-2.0547	0.74137	0.7926	1.0	12248	1	-2.0547
UFD1L	4	5.5456e-05	0.0002049	0.01697	209	4	-2.235	0.9998	0.9998	1.0	16465	0	-2.235
PSMB7	4	5.5884e-05	0.00020608	0.016984	210	3	-1.4881	0.67243	0.71192	1.0	11411	1	-1.4881
SMG5	6	5.6427e-05	0.00028221	0.020503	211	4	-1.2593	0.97264	0.9727	1.0	15618	0	-1.2593
NMD	4	5.6866e-05	0.00021263	0.017173	212	4	-1.2059	0.99994	0.99995	1.0	16527	0	-1.2059
UXT	4	5.7291e-05	0.00021382	0.017173	213	3	-1.3205	0.66015	0.70477	1.0	11272	1	-1.3205
YARS2	4	5.7606e-05	0.00021441	0.017173	214	4	-2.6489	0.99994	0.99995	1.0	16526	0	-2.6489
CTCF	12	5.7999e-05	0.00051239	0.030247	215	9	-0.77033	0.77346	0.91597	1.0	12662	2	-0.77033
RPS2	6	5.8378e-05	0.00028697	0.020503	216	4	-1.4436	0.94734	0.94706	1.0	15217	0	-1.4436
GRPEL1	5	5.9901e-05	0.00028102	0.020503	217	4	-1.122	0.97905	0.97914	1.0	15753	0	-1.122
TGFBR2	5	6.0026e-05	0.00028102	0.020503	218	4	-0.57342	0.59558	0.73285	1.0	10554	1	-0.57342
MED14	3	6.0026e-05	0.00019241	0.016342	219	3	-1.6729	0.99994	0.99994	1.0	16525	0	-1.6729
ARIH1	4	6.0872e-05	0.00022571	0.017522	220	4	-2.2408	0.99974	0.99975	1.0	16454	0	-2.2408
PRKRIR	3	6.1546e-05	0.00019716	0.016577	221	3	-2.4453	0.99994	0.99994	1.0	16524	0	-2.4453
