geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ADRM1	21.55425215	3.78851424	0.784731864	4.827781839	1.38E-06	4.24E-06
SCGB2A1	1.593913785	2.231034785	0.644044079	3.464102629	0.000532004	0.001121696
PGM3	146.0390474	3.267141847	0.272954056	11.96956696	5.13E-33	3.75E-31
KRT19	31.11959206	2.51568121	0.319229391	7.880481189	3.26E-15	2.93E-14
PA2G4	23.85513942	3.703433165	0.477843573	7.750304437	9.17E-15	7.73E-14
MED16	197.2760416	3.948482235	0.33596921	11.7525122	6.86E-32	4.50E-30
MED17	97.27655138	2.066770526	0.193464429	10.68294846	1.22E-26	4.65E-25
TNFAIP8	517.4372014	4.1993432	0.420196504	9.993760451	1.62E-23	4.21E-22
SPDEF	182.2847896	2.959024869	0.313255599	9.446039852	3.52E-21	6.80E-20
ADAMTS1	1.690678242	2.419512513	0.93680906	2.582716817	0.009802575	0.016921202
PIAS2	11.84520414	2.594100938	0.342570268	7.572463754	3.66E-14	2.85E-13
PIAS1	1.631073494	2.985171783	0.650654926	4.587949253	4.48E-06	1.29E-05
TGFB1I1	593.5313339	2.76719542	0.347205024	7.969917574	1.59E-15	1.48E-14
SCGB2A2	6.596757194	2.236801707	0.295250793	7.575938017	3.57E-14	2.78E-13
SLC38A2	224.5730557	2.623783494	0.289269677	9.070371704	1.19E-19	1.88E-18
GNAI3	10.8147758	2.852050919	0.591248208	4.823779387	1.41E-06	4.32E-06
HSD17B14	0.842442498	2.391272672	1.101201781	2.171511809	0.029892505	0.047201066
AKAP12	11.54125922	2.437482658	0.249003744	9.788939803	1.26E-22	2.91E-21
HMGCS1	1.499208236	2.645337982	0.511492993	5.171797105	2.32E-07	7.88E-07
LMAN1	41.75074632	2.360167999	0.252355039	9.352569327	8.55E-21	1.58E-19
SRF	4.264007817	2.167306644	0.51461925	4.211476049	2.54E-05	6.53E-05
GPD1L	1.916368654	2.083760835	0.466980788	4.462198205	8.11E-06	2.25E-05
TMEM50A	24.69386499	2.308993798	0.335755489	6.877009831	6.11E-12	3.67E-11
ELK4	1083.59074	3.867138807	0.370532084	10.43671783	1.69E-25	5.53E-24
ITGAV	117.6080584	2.331521841	0.192911095	12.08599143	1.25E-33	9.81E-32
DNAJA1	218.9787443	2.192704987	0.280217013	7.825024487	5.08E-15	4.45E-14
NKX3-1	3386.267526	2.31525116	0.189795155	12.19868422	3.16E-34	2.67E-32
NDRG1	3.042315875	3.738702879	0.727941088	5.135996497	2.81E-07	9.44E-07
RNF14	5.802191127	2.876701984	0.337675205	8.519138922	1.61E-17	1.90E-16
B4GALT1	11.13423615	2.048714564	0.234739164	8.727621447	2.60E-18	3.44E-17
UAP1	2507.695526	2.199477162	0.214493008	10.25430705	1.13E-24	3.37E-23
SCD	5.7021728	2.900275651	0.423228126	6.852747906	7.24E-12	4.31E-11
MYL12A	22.03049642	2.148945091	0.380824893	5.642869284	1.67E-08	6.61E-08
KAT5	151.4560133	2.398401503	0.182386426	13.15010966	1.70E-39	2.24E-37
DDX5	195.8707045	2.919020518	0.243639768	11.98088693	4.48E-33	3.31E-31
HOMER2	10.06063581	3.390214204	0.318556103	10.64243998	1.89E-26	6.99E-25
ANKH	1.599814803	2.304232027	0.629276538	3.661716095	0.000250531	0.000554133
BRCA1	256.8158688	2.069863834	0.181046451	11.43277771	2.87E-30	1.61E-28
DNAJB9	33.91698923	3.068210483	0.43813625	7.002868362	2.51E-12	1.57E-11
RNF4	48.85668233	2.044235916	0.210166882	9.726727126	2.32E-22	5.20E-21
SPCS3	13.86847066	2.764434707	0.476249203	5.804597019	6.45E-09	2.69E-08
RWDD1	60.89700184	2.018407067	0.212063272	9.517947392	1.77E-21	3.53E-20
MAP7	60.7051387	2.030922417	0.403766131	5.029947438	4.91E-07	1.60E-06
MERTK	2.00766488	2.344440994	0.747057026	3.138235655	0.001699682	0.003310327
IDI1	533.4220635	2.172569389	0.297672741	7.298516423	2.91E-13	2.05E-12
SAT1	2.097183971	3.818521084	2.865774847	1.332456766	0.182710139	0.243038197
STEAP4	32.5952739	2.584935053	0.218555707	11.82735096	2.82E-32	1.92E-30
CDC14B	371.5854013	2.237784384	0.282326868	7.926218301	2.26E-15	2.07E-14
GRIP1	3237.699675	5.282971915	0.443750989	11.90526228	1.11E-32	7.81E-31
SLC26A2	11524.60769	2.272761388	0.250479702	9.073634982	1.15E-19	1.83E-18
DAXX	2711.12789	2.170708745	0.266842149	8.13480461	4.13E-16	4.14E-15
CAMKK2	4.253273915	4.783037641	1.42421264	3.358373256	0.000784027	0.001607243
AKT1	0.981664745	2.664320484	1.265355212	2.10559095	0.035239899	0.054873715
GSR	9.419874159	2.708457291	0.543434557	4.983962201	6.23E-07	2.01E-06
CCNE1	2.323316165	2.145189894	0.612032599	3.505025544	0.000456563	0.000972532
CST11	1277.892447	2.271440897	0.381065609	5.960760672	2.51E-09	1.10E-08
RHOA	345.492041	3.969029457	0.322347219	12.31290119	7.72E-35	7.01E-33
GUCY1A1	1.11653388	2.2636699	0.971264203	2.330642779	0.019772204	0.032308298
SEC24D	0.733312785	2.284351108	4.454061056	0.512869285	0.60804276	0.688168112
DHCR24	0.889943522	2.474464296	1.709607775	1.447387133	0.147788528	0.201291537
AR	9.718358363	5.021223605	0.870859992	5.765821889	8.13E-09	3.35E-08
SGK1	3.91858941	3.579974136	1.121518735	3.192076979	0.001412537	0.002788208
ARID5B	2.57524471	2.18965066	0.789262929	2.774298121	0.005532096	0.009977234
RAB4A	79.18725596	3.535903681	0.407903786	8.668474784	4.38E-18	5.61E-17
CDK6	3.86163535	2.024839923	0.380240393	5.325157354	1.01E-07	3.61E-07
HERC3	1.589410284	2.320559778	0.449201792	5.165962865	2.39E-07	8.12E-07
UBE2I	39.25055909	3.423445523	0.364301992	9.397273691	5.60E-21	1.07E-19
CDK7	1.446214267	3.177238922	0.898657145	3.535540713	0.000406942	0.000873096
RB1	1.366351191	3.095279724	1.111473081	2.784844525	0.005355339	0.009685675
NRIP1	3.931858856	2.132431797	0.380594499	5.602897048	2.11E-08	8.23E-08
MED4	15.72901196	5.599721984	1.321994761	4.235812539	2.28E-05	5.91E-05
CCND1	5.562207817	4.723950782	1.306460409	3.615839218	0.000299376	0.000654384
NCOA1	80.64084823	2.023735915	0.198822512	10.17860552	2.47E-24	7.06E-23
TARP	2.445623058	2.157469828	0.532106213	4.054584919	5.02E-05	0.000123454
CCND3	57.57645004	2.852994046	0.321920985	8.862404693	7.83E-19	1.12E-17
NCOA3	106.0298526	2.267398213	0.211783568	10.70620461	9.52E-27	3.66E-25
NCOA4	24.88503008	2.360631398	0.267530245	8.823792601	1.11E-18	1.55E-17
ZMIZ1	1120.990085	3.088127608	0.263137657	11.73578743	8.35E-32	5.36E-30
INPP4B	149.8285761	3.270288318	0.268849268	12.16402164	4.83E-34	3.94E-32
SMS	4.073030599	2.482302426	0.362965025	6.838957626	7.98E-12	4.73E-11
PMEPA1	2082.513508	2.362887167	0.189260952	12.48481071	9.04E-36	9.12E-34
MED1	1200.31653	2.307288485	0.294910672	7.823685969	5.13E-15	4.49E-14
SORD	11.57886466	4.928258518	0.635483244	7.755135266	8.82E-15	7.48E-14
ZBTB10	42.50086835	2.543263889	0.267743761	9.498872667	2.12E-21	4.20E-20
FKBP5	3.929174039	3.991560973	0.468818499	8.514085893	1.68E-17	1.98E-16
FKBP4	171.2709249	2.300345042	0.242831273	9.473018088	2.72E-21	5.32E-20
FHL2	44.11551154	2.596094984	0.294825557	8.805528985	1.30E-18	1.80E-17
ABHD2	500.0040587	2.220673303	0.119826313	18.5324345	1.13E-76	9.37E-74
PLPP1	28.64476912	3.139199915	0.282196103	11.12417885	9.57E-29	4.60E-27
TSC22D1	200.8615124	2.36321333	0.201548395	11.72528973	9.46E-32	5.97E-30
NGLY1	5807.683893	2.465875908	0.29083492	8.478610158	2.28E-17	2.66E-16
PTK2B	162.8714206	2.037778398	0.188254821	10.82457481	2.63E-27	1.08E-25
ALDH1A3	78.7991007	2.040999864	0.2095684	9.739063073	2.05E-22	4.63E-21
KRT8	912.3337738	2.92107394	0.298631642	9.781528565	1.35E-22	3.11E-21
KDM3A	4.472770741	2.073360599	0.310231541	6.683268215	2.34E-11	1.31E-10
APPBP2	3.505462636	3.00235062	0.536558399	5.595571008	2.20E-08	8.57E-08
ACSL3	2.380787326	3.61206136	0.762515229	4.737035041	2.17E-06	6.48E-06
MAF	13.86296032	3.22367171	0.786891287	4.096718012	4.19E-05	0.000104217
TMPRSS2	124.7424182	3.052643626	0.347390379	8.787357995	1.53E-18	2.09E-17
CENPN	16.54407095	2.002515226	0.216050438	9.268739485	1.88E-20	3.34E-19
RRP12	241.3248788	2.037949536	0.312250417	6.526651126	6.73E-11	3.57E-10
KLK2	843.5449063	2.238080857	0.32749404	6.833959038	8.26E-12	4.89E-11
MAK	21.03381521	4.46067412	0.464640948	9.600260455	7.97E-22	1.67E-20
KLK3	226.4126596	3.586983723	0.276547117	12.9706061	1.80E-38	2.18E-36
FADS1	2.920379692	3.90176813	0.799385701	4.880958125	1.06E-06	3.30E-06
DBI	98.00879038	2.329411308	0.274389629	8.489429135	2.08E-17	2.43E-16
RPS6KA3	21.97897124	3.065049058	0.297131768	10.3154539	6.00E-25	1.84E-23
MED30	1.201224825	2.268057856	0.668895944	3.390748405	0.000697021	0.001441359
THRAP3	42.45770853	2.058623834	0.229102592	8.985598176	2.57E-19	3.91E-18
ABCC4	147.9085951	2.532076098	0.229021578	11.0560591	2.05E-28	9.43E-27
BMPR1B	3.108746569	2.168230974	0.305114823	7.106278716	1.19E-12	7.78E-12
HPGD	1.366773566	2.391254173	0.490186941	4.878249449	1.07E-06	3.34E-06
